Lambda (nm),transmission
1003.5,0.00557865
1004,0.00551066
1004.5,0.00502411
1005,0.00453801
1005.5,0.0039647
1006,0.00339092
1006.5,0.00291949
1007,0.00244909
1007.5,0.00216073
1008,0.00187205
1008.5,0.00171831
1009,0.00156474
1009.5,0.00150855
1010,0.00145229
1010.5,0.00144853
1011,0.00144479
1011.5,0.00150859
1012,0.00157244
1012.5,0.00174722
1013,0.00192173
1013.5,0.00221558
1014,0.0025094
1014.5,0.00302518
1015,0.00354083
1015.5,0.00434085
1016,0.00514241
1016.5,0.00612649
1017,0.00710869
1017.5,0.00792315
1018,0.008737
1018.5,0.00890731
1019,0.00907794
1019.5,0.00856363
1020,0.00805001
1020.5,0.00720023
1021,0.00634924
1021.5,0.00563817
1022,0.00492925
1022.5,0.00448617
1023,0.00404244
1023.5,0.00380387
1024,0.00356548
1024.5,0.00355578
1025,0.00354607
1025.5,0.00366645
1026,0.00378682
1026.5,0.00415722
1027,0.00452712
1027.5,0.00516789
1028,0.0058096
1028.5,0.00687363
1029,0.0079357
1029.5,0.00924606
1030,0.0105553
1030.5,0.0115723
1031,0.0125889
1031.5,0.0127069
1032,0.0128252
1032.5,0.0119419
1033,0.0110596
1033.5,0.00974033
1034,0.00842238
1034.5,0.00730779
1035,0.00619193
1035.5,0.00546508
1036,0.00473878
1036.5,0.00431193
1037,0.00388483
1037.5,0.00369729
1038,0.00350962
1038.5,0.00347874
1039,0.0034479
1039.5,0.00355596
1040,0.00366403
1040.5,0.00397069
1041,0.00427747
1041.5,0.00485332
1042,0.00542848
1042.5,0.00649781
1043,0.00756686
1043.5,0.00911389
1044,0.0106594
1044.5,0.0123968
