Lambda (nm),transmission
1033.5,0.00806663
1034,0.0085434
1034.5,0.00901157
1035,0.0094897
1035.5,0.00992749
1036,0.0103023
1036.5,0.0105648
1037,0.0107191
1037.5,0.0107317
1038,0.0105706
1038.5,0.0102339
1039,0.0098133
1039.5,0.0092332
1040,0.00858878
1040.5,0.00789617
1041,0.00716746
1041.5,0.0064401
1042,0.00578
1042.5,0.00518627
1043,0.00461207
1043.5,0.00414326
1044,0.00368121
1044.5,0.003295
1045,0.00295619
1045.5,0.00266981
1046,0.00243772
1046.5,0.0022245
1047,0.00203831
1047.5,0.00185956
1048,0.00172882
1048.5,0.00162128
1049,0.00151711
1049.5,0.00140885
1050,0.00134076
1050.5,0.00125892
