l (nm),transmission
928,1.769999998525429e-08
929,1.769999998525429e-08
930,1.769999998525429e-08
931,1.769999998525429e-08
932,1.769999998525429e-08
933,2.2799999999976183e-08
934,3.884999998775061e-08
935,3.884999998775061e-08
936,5.489999994310301e-08
937,3.919999999815352e-08
938,2.3499999985296162e-08
939,5.060000001866518e-08
940,7.070000003306327e-08
941,5.700000004298465e-08
942,4.3299999964768807e-08
943,5.3249999986417566e-08
944,6.319999995890637e-08
945,4.520000001963071e-08
946,1.1200000008505668e-08
947,5.225000002609626e-08
948,9.330000005445971e-08
949,5.300000004871846e-08
950,4.049999997998115e-08
951,2.7999999977936303e-08
952,3.629999999698158e-08
953,2.7100000007837035e-09
954,7.239999996713418e-08
955,1.0999999995992406e-07
956,1.6599999998468974e-08
957,7.410000000352704e-08
958,1.739999998867764e-07
959,8.900000007276802e-08
960,1.769999998525429e-07
961,1.859999999066705e-07
962,2.0300000004056645e-07
963,3.649999996163586e-07
964,3.8200000007765953e-07
965,5.640000000216326e-07
966,8.450000000978828e-07
967,1.0478840694323257e-06
968,1.5401084972376805e-06
969,2.1399492108087124e-06
970,3.2435343007137335e-06
971,4.824226778063719e-06
972,7.424320796682357e-06
973,1.2205477121759135e-05
974,2.1145250673318452e-05
975,3.795258005362401e-05
976,7.027612538132166e-05
977,0.0001266826317554096
978,0.00019892148651508743
979,0.00026101470005204336
980,0.0002829384805953184
981,0.00026214789574975005
982,0.00022284697746174806
983,0.0001895931175958667
984,0.00016928240678010923
985,0.00015977485092122327
986,0.00015907427296207215
987,0.00016529794788728539
988,0.00017845913762622894
989,0.0001988741942089486
990,0.00022764220833216956
991,0.00026566255858411695
992,0.00031337469840713334
993,0.00037299580893036756
994,0.00043747928031771365
995,0.0005039415506630341
996,0.0005627832187188684
997,0.0006027395645281317
998,0.0006179134919445829
999,0.0006117532031458468
1000,0.0005867595975138308
1001,0.0005550285432493007
1002,0.0005196109409257275
1003,0.0004887569319875272
1004,0.0004621474446111219
1005,0.0004432056100407717
1006,0.00042965587243155737
1007,0.00042363647334449497
1008,0.00042252130842211166
1009,0.0004281999546865202
1010,0.000439517163205491
1011,0.00045805685192779316
1012,0.000481303445870042
1013,0.00051341876416867
1014,0.0005512816084115268
1015,0.0006014360858671842
1016,0.0006559079879911542
1017,0.000721688121230498
1018,0.0007969486714918488
1019,0.0008817543827487603
1020,0.0009706480804061924
1021,0.0010662482687027288
1022,0.0011612077802461024
1023,0.0012461332234478466
1024,0.0013234555727656846
1025,0.0013806061447558344
1026,0.0014223667976644354
1027,0.0014377373462721788
1028,0.0014404352009657945
1029,0.0014268164344036181
1030,0.0014011134206246235
1031,0.0013726750027931683
1032,0.0013403649633109314
1033,0.0013121102737301677
1034,0.0012843069419097124
1035,0.0012633770691679118
1036,0.001250740886245464
1037,0.001239507794150222
1038,0.0012410029018064986
1039,0.001247316151326328
1040,0.0012630397070936973
1041,0.0012862011779805802
1042,0.0013154529038855198
1043,0.0013546387854938028
1044,0.0014000159515955694
1045,0.0014562582978030294
1046,0.0015203285215586195
1047,0.0015883044914115918
1048,0.0016689446588980814
1049,0.0017496520260319131
1050,0.0018373198792615004
1051,0.0019294819225884562
1052,0.0020140317098253403
1053,0.0021049955496801388
1054,0.0021863919516417287
1055,0.002254797813455089
1056,0.0023186555477845315
1057,0.002363161594598036
1058,0.0023912878322195426
1059,0.002412146928586507
1060,0.002413786055319355
1061,0.0023984710896701464
1062,0.0023844192920712635
1063,0.002354530692152183
1064,0.002317412941843102
1065,0.002285029440887442
1066,0.0022507590082291758
1067,0.0022108571223164743
1068,0.002181171477910557
1069,0.002156274917151417
1070,0.0021277077477181213
1071,0.002113389522492788
1072,0.0021058230107540016
1073,0.0020968256905636055
1074,0.0021023543169873737
1075,0.0021150740992602122
1076,0.0021278360476735428
1077,0.00215316474376307
1078,0.0021896983695778574
1079,0.002223436234931813
1080,0.002269253432306727
1081,0.002328058483014741
1082,0.0023831522469366364
1083,0.0024451939749437555
1084,0.002514814136613981
1085,0.0025910359633699526
1086,0.002661620972869908
1087,0.0027357292193644555
1088,0.002815649807104038
1089,0.0028834721424556486
1090,0.0029412150394275915
1091,0.0030012240986076
1092,0.0030473145830107722
1093,0.0030761313444360255
1094,0.0030896863344252712
1095,0.003101370931362768
1096,0.0030882352583661747
1097,0.003060005309227865
1098,0.0030210152250612363
1099,0.002977746425586626
1100,0.0029195657351139387
1101,0.002850662173803223
1102,0.0027824830984924196
1103,0.002710893454754018
1104,0.0026411902901489342
1105,0.002562969623940457
1106,0.002491604984403659
1107,0.002426539358664339
1108,0.0023696786188047206
1109,0.002305518088865069
1110,0.002250755877962613
1111,0.002203227729937867
1112,0.0021652033930780745
1113,0.002123186885604407
1114,0.002090054750889854
1115,0.0020617090153768115
1116,0.002039922625976242
1117,0.002027167528522131
1118,0.0020088611551448273
1119,0.0020010669539831066
1120,0.0019898082308764525
1121,0.0019914595795296947
1122,0.001994760482610464
1123,0.001993539779106679
1124,0.0020010292547346198
1125,0.0020068685726118748
1126,0.0020146456340603483
1127,0.0020251446965884254
1128,0.0020331385733006785
1129,0.0020375654082486656
1130,0.0020395223787745445
1131,0.002048075644416155
1132,0.0020475651304082743
1133,0.0020446226004284178
1134,0.0020374345759110978
1135,0.0020139773175640425
1136,0.001999475062627409
1137,0.0019804668437402467
1138,0.0019526346018478608
1139,0.0019213549783829087
1140,0.0018826726085564127
1141,0.0018387416011240503
1142,0.0017977252609227114
1143,0.0017517216517478184
1144,0.0017041639971959357
1145,0.0016560454660894067
1146,0.001605512351417896
1147,0.0015549603091451424
1148,0.0015052691084117462
1149,0.001457255630471346
1150,0.0014143757513291198
1151,0.00137246891843475
1152,0.001328714339681691
1153,0.0012876026327124483
1154,0.0012524656938793207
1155,0.001215334982718346
1156,0.001182500047894585
1157,0.001153653040465154
1158,0.0011272198708605307
1159,0.0011018206182018297
1160,0.0010759392382093957
1161,0.0010553875581001445
1162,0.0010344938925036015
1163,0.0010141481458985078
1164,0.0009981556973252727
1165,0.0009842707223948872
1166,0.0009696513423155182
1167,0.0009562058756482844
1168,0.0009449979665633804
1169,0.000934071987646993
1170,0.0009224491563464782
1171,0.000908835157505541
1172,0.0008991102878451615
1173,0.0008875450495908296
1174,0.0008768331265621734
1175,0.0008640524739392106
1176,0.0008511101445732916
1177,0.0008391265569468963
1178,0.0008251028514804507
1179,0.0008084715150961304
1180,0.0007911475745718264
1181,0.0007731107622503898
1182,0.0007537573568748027
1183,0.0007341486964551541
1184,0.0007132507122262127
1185,0.0006903904670719801
1186,0.000668190046487682
1187,0.0006465943151796486
1188,0.000624334514083283
1189,0.0006018728762039226
1190,0.0005791316551781909
1191,0.0005557641757979306
1192,0.000533667095277228
1193,0.000511657632535705
1194,0.0004914862292266789
1195,0.0004717656966715055
1196,0.00045252218870318645
1197,0.0004335430634075366
1198,0.0004157237335856761
1199,0.0003990845380482532
1200,0.0003846911710162322
1201,0.0003697182613151144
1202,0.0003567082435276681
1203,0.0003442156690726745
1204,0.00033224314413166317
1205,0.00032127361719332223
1206,0.00031079459970923684
1207,0.0003012401796994491
1208,0.00029250953335310304
1209,0.00028465554096958806
1210,0.0002772532776365952
1211,0.0002704983018425609
1212,0.00026421705284300365
1213,0.00025856418533312095
1214,0.0002531447447949553
1215,0.00024811029436799554
1216,0.0002436952852437793
1217,0.00023923013370587054
1218,0.0002354633995817886
1219,0.0002321552669317334
1220,0.000228494480111111
1221,0.00022546643397784773
1222,0.00022275485121817014
1223,0.0002197826654211294
1224,0.00021715214468871673
1225,0.00021450437627524118
1226,0.00021191177880370654
1227,0.00020956231288590007
1228,0.00020670257505230223
1229,0.00020379457597142066
1230,0.00020089572306089803
1231,0.00019783265889283566
1232,0.0001945865526261967
1233,0.00019121347008022618
1234,0.00018766127514507303
1235,0.00018378745757965687
1236,0.0001800793038079207
1237,0.00017560835916837598
1238,0.0001712346076469966
1239,0.00016678173100205553
1240,0.00016212977462742937
1241,0.00015735760320576215
1242,0.00015253381799611846
1243,0.00014789810415835884
1244,0.00014303396475340098
1245,0.00013814895400382415
1246,0.00013341972587090406
1247,0.00012860368943978765
1248,0.00012398774744459273
1249,0.00011963736274779371
1250,0.00011535033576087287
