Lambda (nm),transmission
858.5,0.000181052
859,0.000197393
859.5,0.000205919
860,0.000202887
860.5,0.000192115
861,0.000188415
861.5,0.000164981
862,0.000189188
862.5,0.000182857
863,0.000180203
863.5,0.000180966
864,0.000182662
864.5,0.000159053
865,0.000155615
865.5,0.000160486
866,0.000172911
866.5,0.000136806
867,0.0001125
867.5,0.000120021
868,0.00010668
868.5,0.000133844
869,0.000124725
869.5,0.000107095
870,9.68947E-05
870.5,9.59742E-05
871,9.5E-05
871.5,9.5E-05
872,9.5E-05
872.5,9.5E-05
873,9.5E-05
873.5,9.5E-05
874,9.5E-05
874.5,9.5E-05
875,9.5E-05
875.5,9.5E-05
876,9.5E-05
876.5,9.5E-05
877,9.5E-05
877.5,9.5E-05
878,9.5E-05
878.5,9.5E-05
879,9.5E-05
879.5,9.5E-05
880,9.5E-05
880.5,9.5E-05
881,9.5E-05
881.5,9.5E-05
882,9.5E-05
882.5,9.5E-05
883,9.5E-05
883.5,9.5E-05
884,9.5E-05
884.5,9.5E-05
885,9.5E-05
885.5,9.5E-05
886,9.5E-05
886.5,9.5E-05
887,9.5E-05
887.5,9.5E-05
888,9.5E-05
888.5,9.5E-05
889,9.5E-05
889.5,9.5E-05
890,9.5E-05
890.5,9.5E-05
891,9.5E-05
891.5,9.5E-05
892,9.5E-05
892.5,9.5E-05
893,9.5E-05
893.5,9.5E-05
894,9.5E-05
894.5,9.5E-05
895,9.5E-05
895.5,9.5E-05
896,9.5E-05
896.5,9.5E-05
897,9.5E-05
897.5,9.5E-05
898,9.5E-05
898.5,9.5E-05
899,9.5E-05
899.5,9.5E-05
900,9.83931E-05
900.5,0.000114153
901,9.61872E-05
901.5,0.000104614
902,0.000106465
902.5,0.000144977
903,0.000139259
903.5,0.000170976
904,0.00019763
904.5,0.00021931
905,0.000242221
905.5,0.000271715
906,0.00030763
906.5,0.000336513
907,0.000361775
907.5,0.000392439
908,0.000411984
908.5,0.000439343
909,0.000451085
909.5,0.000463468
910,0.000468911
910.5,0.000448803
911,0.000439793
911.5,0.00042083
912,0.000390493
912.5,0.000375068
913,0.000359546
913.5,0.000334731
914,0.000290532
914.5,0.00026702
915,0.000233283
915.5,0.000221632
916,0.000194331
916.5,0.000187069
917,0.000162263
917.5,0.000141598
918,0.0001505
918.5,0.000137928
919,0.000136132
919.5,0.000140769
920,0.000121601
920.5,0.000126272
921,0.000137386
921.5,0.000115589
922,0.000117601
922.5,0.000145353
923,0.00015234
923.5,0.000146168
924,0.000167779
924.5,0.000163071
925,0.00016622
925.5,0.000185206
926,0.000191111
