Lambda (nm),transmission
829,9.5E-05
829.5,9.5E-05
830,9.5E-05
830.5,9.5E-05
831,9.5E-05
831.5,9.5E-05
832,9.5E-05
832.5,9.5E-05
833,9.5E-05
833.5,9.5E-05
834,9.5E-05
834.5,9.5E-05
835,9.5E-05
835.5,9.5E-05
836,9.5E-05
836.5,9.5E-05
837,9.5E-05
837.5,9.5E-05
838,9.5E-05
838.5,9.5E-05
839,9.5E-05
839.5,9.5E-05
840,9.5E-05
840.5,9.5E-05
841,9.5E-05
841.5,9.5E-05
842,9.5E-05
842.5,9.5E-05
843,9.5E-05
843.5,9.5E-05
844,9.5E-05
844.5,9.5E-05
845,9.5E-05
845.5,9.5E-05
846,9.5E-05
846.5,9.5E-05
847,9.5E-05
847.5,9.5E-05
848,9.5E-05
848.5,9.5E-05
849,9.5E-05
849.5,9.5E-05
850,9.5E-05
850.5,9.5E-05
851,9.5E-05
851.5,9.5E-05
852,9.5E-05
852.5,9.5E-05
853,9.5E-05
853.5,9.5E-05
854,9.5E-05
854.5,9.5E-05
855,9.5E-05
855.5,9.5E-05
856,9.5E-05
856.5,9.5E-05
857,9.5E-05
857.5,9.5E-05
858,9.5E-05
858.5,9.5E-05
859,9.5E-05
859.5,9.5E-05
860,9.5E-05
860.5,9.5E-05
861,9.5E-05
861.5,9.5E-05
862,9.5E-05
862.5,9.5E-05
863,9.5E-05
863.5,9.5E-05
864,9.5E-05
864.5,9.5E-05
865,9.5E-05
865.5,9.5E-05
866,9.5E-05
866.5,9.5E-05
867,9.5E-05
867.5,9.5E-05
868,9.5E-05
868.5,9.5E-05
869,9.5E-05
869.5,9.5E-05
870,9.5E-05
870.5,9.5E-05
871,9.5E-05
871.5,9.5E-05
872,9.5E-05
872.5,9.5E-05
873,9.5E-05
873.5,9.5E-05
874,9.5E-05
874.5,9.5E-05
875,9.5E-05
875.5,9.5E-05
876,9.5E-05
876.5,9.5E-05
877,9.5E-05
877.5,9.5E-05
878,9.5E-05
878.5,9.5E-05
879,9.5E-05
879.5,9.5E-05
880,9.5E-05
880.5,9.5E-05
881,9.5E-05
881.5,9.5E-05
882,9.5E-05
882.5,9.5E-05
883,9.5E-05
883.5,9.5E-05
884,9.5E-05
884.5,9.5E-05
885,9.5E-05
885.5,9.5E-05
886,9.5E-05
886.5,9.5E-05
887,9.5E-05
887.5,9.5E-05
888,9.5E-05
888.5,9.5E-05
889,9.5E-05
889.5,9.5E-05
890,9.5E-05
890.5,9.5E-05
891,9.5E-05
891.5,9.5E-05
892,9.5E-05
892.5,9.5E-05
893,9.5E-05
893.5,9.5E-05
894,9.5E-05
894.5,9.5E-05
895,9.5E-05
895.5,9.5E-05
896,9.5E-05
896.5,9.5E-05
897,9.5E-05
897.5,9.5E-05
898,9.5E-05
898.5,9.5E-05
899,9.5E-05
899.5,9.5E-05
900,9.5E-05
900.5,9.5E-05
901,9.5E-05
901.5,9.5E-05
902,9.5E-05
902.5,9.5E-05
903,9.5E-05
903.5,9.5E-05
904,9.5E-05
904.5,9.5E-05
905,9.5E-05
905.5,9.5E-05
906,9.5E-05
906.5,9.5E-05
907,9.5E-05
907.5,9.5E-05
908,9.5E-05
908.5,9.5E-05
909,9.5E-05
909.5,9.5E-05
910,9.5E-05
910.5,9.5E-05
911,9.5E-05
911.5,9.5E-05
912,9.5E-05
912.5,9.5E-05
913,9.5E-05
913.5,9.5E-05
914,9.5E-05
914.5,9.5E-05
915,9.5E-05
915.5,9.5E-05
916,9.5E-05
916.5,9.5E-05
917,9.5E-05
917.5,9.5E-05
918,9.5E-05
918.5,9.5E-05
919,9.5E-05
919.5,9.5E-05
920,9.5E-05
920.5,9.5E-05
921,9.5E-05
921.5,9.5E-05
922,9.5E-05
922.5,9.5E-05
923,9.5E-05
923.5,9.5E-05
924,9.5E-05
924.5,9.5E-05
925,9.5E-05
925.5,9.5E-05
926,9.5E-05
926.5,9.5E-05
927,9.5E-05
927.5,9.5E-05
