band,filter_id,facility,instrument,wavelength_eff,fwhm,mean_overlap,min_overlap,median_overlap,n_low_pairs,is_outlier
V,CAHA/Astralux.V,CAHA,Astralux,5379.8,933.8,0.9714,0.7312,0.9919,0,False
V,LCO/IMACS.Bessell_V2,LCO,IMACS,5384.5,910.9,0.9716,0.7332,0.9877,0,False
V,P200/LFC.V,Palomar,LFC,5370.0,851.9,0.9721,0.7571,0.9873,0,False
V,IAC80/CAMELOT.V,IAC80,CAMELOT,5368.3,847.5,0.9722,0.7526,0.9869,0,False
V,CAHA/CAHA.537_89,CAHA,,5358.8,890.0,0.9725,0.7363,0.9922,0,False
V,FLWO/KeplerCam.V_Harris_old,FLWO,KeplerCam,5391.8,927.0,0.9726,0.7432,0.9878,0,False
V,CAHA/PlanetCam2.VIS_V_filter,CAHA,PlanetCam2,5386.7,890.4,0.9726,0.7483,0.9883,0,False
V,LCO/MagIC.V,LCO,MagIC,5377.7,916.8,0.9726,0.7324,0.9901,0,False
V,LCO/WFCCD.V,LCO,WFCCD,5368.9,890.8,0.9729,0.7445,0.9909,0,False
V,CAHA/PlanetCam2.VIS_V,CAHA,PlanetCam2,5394.8,882.4,0.9730,0.7565,0.9868,0,False
V,LCO/CCD3x3.LC-3009,LCO,,5357.1,891.1,0.9730,0.7413,0.9912,0,False
V,NOT/ALFOSC.Bes_V,NOT,ALFOSC,5365.7,891.0,0.9731,0.7429,0.9912,0,False
V,LCO/CSP.V_LC3009,LCO,SITe3,5388.1,923.6,0.9736,0.7451,0.9921,0,False
V,LCO/SITe3.V_LC3009,LCO,SITe3,5388.1,923.6,0.9736,0.7451,0.9921,0,False
R,Paranal/SPHERE.ZIMPOL_N_R,Paranal,SPHERE,6431.6,597.4,0.6375,0.3914,0.6342,1,True
R,Misc/ROTSE.R,ROTSE,ROTSE,5490.6,4472.8,0.7121,0.3914,0.7336,1,False
R,Gemini/AcqCam-S.R,Gemini,AcqCam-S,6857.9,1468.8,0.8464,0.6423,0.8513,0,False
R,Subaru/FOCAS.R,Subaru,FOCAS,6519.1,1184.9,0.8521,0.5556,0.8423,0,False
R,Gemini/AcqCam-N.R,Gemini,AcqCam-N,6839.2,1437.1,0.8526,0.6503,0.8584,0,False
R,CFHT/MOCAM.R,CFHT,MOCAM,6439.6,1266.7,0.8622,0.5509,0.8578,0,False
R,CFHT/CFH12k.R,CFHT,CFH12k,6515.6,1250.9,0.8749,0.5706,0.8680,0,False
R,CFHT/CFHT.R,CFHT,,6515.4,1250.9,0.8768,0.5731,0.8702,0,False
R,Misc/AndromedA.Rcb,AndromedA,,6339.7,1393.1,0.8933,0.6020,0.8903,0,False
R,Paranal/VIMOS.R,Paranal,VIMOS,6374.8,1349.8,0.8945,0.5767,0.8903,0,False
R,CAHA/Astralux.R2_noatm,CAHA,Astralux,6366.1,1468.6,0.9341,0.6499,0.9426,0,False
R,CAHA/Astralux.R2_filter,CAHA,Astralux,6377.6,1462.6,0.9352,0.6530,0.9442,0,False
R,Paranal/FORS2.ESO1076,Paranal,FORS2,6424.6,1645.6,0.9386,0.6462,0.9473,0,False
R,CAHA/LAICA.Johnson_R,CAHA,LAICA,6466.2,1866.9,0.9390,0.6100,0.9562,0,False
