Nova_Name,SIMBAD_Name,Input_Name,Nova_Aliases,Discovery_Date,Nova_Otypes,is_nova,is_recurrent,Peak_Mag,Filter,Uncertainty
CP Lac,CP Lac,CP Lac,TIC 330615123|Gaia DR3 2006109065688505472|AAVSO 2212+55|AN  605.1936|CSI+55-22138|EM* CDS 1317|GCRV 14005|NOVA Lac 1935|NOVA Lac 1936|CP Lac|2MASS J22154108+5537014|WEB 19732|Gaia DR2 2006109065688505472,1936-06-18,*|CV*|Em*|HS?|NIR|No*|V*|blu,True,False,,,False
V356 Aql,V356 Aql,V356 Aql,Gaia DR2 4264846415484216576|UGPS J191713.68+014321.9|AAVSO 1912+01|AN  618.1936|CSI+01-19147|GCRV 69244|NOVA Aql 1936|V356 Aql,1936-09-18,*|NIR|No*|V*,True,False,,,False
V990 Sgr,V990 Sgr,V990 Sgr,TIC 136018807|AAVSO 1751-28|NOVA Sgr 1936 d|V990 Sgr|2MASS J17571823-2819079,1936-09-21,NIR|No*|V*,True,False,,,False
V630 Sgr,V630 Sgr,V630 Sgr,Gaia DR2 4039478078339544064|AAVSO 1802-34|AN  619.1936|CSI-34-18055|GCRV 67767|HD 321353|NOVA Sgr 1936 c|V630 Sgr|[SC95] M 320|[SC96] Mis 1029,1936-10-03,*|CV*|No*|UV|V*,True,False,,,False
V368 Aql,V368 Aql,V368 Aql,TIC 374963778|UCAC4 489-101766|WISE J192634.45+073613.4|WISEA J192634.45+073613.2|ZTF J192634.45+073613.8|Gaia DR3 4295580518601261696|AAVSO 1921+07|AN  668.1936|CSI+07-19241|GCRV 69428|NOVA Aql 1936 b|V368 Aql|2MASS J19263446+0736137|Gaia DR2 4295580518601261696,1936-10-07,*|CV*|EB*|LP*|MIR|NIR|No*|V*,True,False,,,False
V745 Sco,V745 Sco,V745 Sco,UCAC4 284-135625|2MASS J17552222-3314585|WISE J175522.22-331458.5|WISEA J175522.22-331458.6|Gaia DR3 4043221606260719360|AAVSO 1748-33B|NOVA Sco 1937|V745 Sco|OGLE BLG-LPV-120729|Gaia DR2 4043221606260719360|TIC 258891666,1937-05-10,*|LP*|MIR|NIR|No*|Sy*,True,False,,,False
V745 Sco,V745 Sco,V745 Sco,UCAC4 284-135625|2MASS J17552222-3314585|WISE J175522.22-331458.5|WISEA J175522.22-331458.6|Gaia DR3 4043221606260719360|AAVSO 1748-33B|NOVA Sco 1937|V745 Sco|OGLE BLG-LPV-120729|Gaia DR2 4043221606260719360|TIC 258891666,1937-05-10,*|LP*|MIR|NIR|No*|Sy*,True,False,,,False
V787 Sgr,V787 Sgr,V787 Sgr,AAVSO 1753-30|HD 316917|NOVA Sgr 1937|SV* HV 10322|V787 Sgr,1937-05-20,*|No*|V*,True,False,,,False
V733 Sco,V733 Sco,V733 Sco,TIC 107043035|Gaia DR3 4041215444248801920|WISEA J173939.18-355123.8|OGLE BLG610.21  40000|OGLE BLG-LPV-245889|AAVSO 1733-35|NOVA Sco 1937 a|V733 Sco|2MASS J17393919-3551241|WISE J173939.19-355123.9,1937-06-29,*|LP*|MIR|Mi*|Mi?|NIR|No*|V*,True,False,,,False
V404 Cyg,V404 Cyg,V404 Cyg,TIC 136874944|Gaia DR2 2056188624872569088|AAVSO 2020+33|AN  100.1938|Ginga 2023+338|Ginga 2023+33|INTREF  1021|NOVA Cyg 1938|NOVA Cyg 1989|V404 Cyg|2MASS J20240382+3352021|1RXS J202405.3+335157|1SXPS J202404.2+335155|Gaia DR3 2056188624872569088|4XMM J202403.8+335202|2SXPS J202404.0+335151,1938-09-28,*|CV*|HXB|NIR|No*|V*|X|gam,True,False,,,False
FU Ori,FU Ori,FU Ori,TIC 156194593|WISEA J054522.36+090412.2|Gaia DR3 3336092864798790144|TYC  715-159-1|2MASS J05452235+0904123|AAVSO 0539+09|AN    1.1939|BD+09  5427|CSI+09-05427|EM* CDS  535|GCRV 56621|GSC 00715-00159|HBC 186|IRAS 05426+0903|JP11  5455|JP11  5456|JP11  5454|NOVA Ori 1939|PDS 122|PP  43|FU Ori|[LC2007] 28|PSCz P05426+0903|WDS J05454+0904AB|** WAH    1|2XMM J054522.3+090412|GN 05.42.6|Gaia DR1 3336092860503879168|WISE J054522.38+090412.1|Gaia DR2 3336092864798790144,1939-01-18,*|**|Em*|IR|ISM|MIR|NIR|No*|Or*|V*|X,True,False,,,False
